"2014/03/12 02:14:25","11322","0","85","6358m","966m","1446.00","46787"
"2014/03/12 02:14:28","11322","0","85","6358m","966m","1462.00","46787"
"2014/03/12 02:14:31","11322","0","85","6358m","967m","1464.00","46786"
"2014/03/12 02:14:35","11322","0","85","6358m","966m","1484.00","46786"
"2014/03/12 02:14:38","11322","0","85","6358m","966m","1465.00","46786"
"2014/03/12 02:14:41","11322","0","85","6358m","967m","1441.00","46785"
"2014/03/12 02:14:45","11322","0","85","6358m","967m","1473.00","46787"
"2014/03/12 02:14:48","11322","0","85","6358m","967m","1460.00","46786"
"2014/03/12 02:14:51","11322","0","85","6358m","967m","1451.00","46787"
"2014/03/12 02:14:54","11322","0","85","6358m","967m","1501.00","46787"
"2014/03/12 02:14:58","11322","0","85","6358m","966m","1452.00","46786"
"2014/03/12 02:15:01","11322","0","85","6358m","967m","1470.00","46788"
"2014/03/12 02:15:04","11322","0","85","6358m","967m","1436.00","46786"
"2014/03/12 02:15:08","11322","0","85","6358m","967m","1428.00","46787"
"2014/03/12 02:15:11","11322","0","85","6358m","966m","1399.00","46786"
"2014/03/12 02:15:14","11322","0","85","6358m","967m","1286.00","46787"
"2014/03/12 02:15:17","11322","0","85","6358m","967m","1439.00","46786"
"2014/03/12 02:15:20","11322","0","85","6358m","967m","1486.00","46786"
"2014/03/12 02:15:24","11322","0","85","6358m","967m","1468.00","46787"
"2014/03/12 02:15:27","11322","0","85","6358m","967m","1441.00","46786"
"2014/03/12 02:15:30","11322","0","85","6358m","967m","1422.00","46787"
"2014/03/12 02:15:33","11322","0","85","6358m","967m","1406.00","46786"
"2014/03/12 02:15:37","11322","0","85","6358m","967m","1471.00","46786"
"2014/03/12 02:15:40","11322","0","85","6358m","966m","1447.00","46786"
"2014/03/12 02:15:43","11322","0","85","6358m","967m","1452.00","46786"
"2014/03/12 02:15:47","11322","0","85","6358m","967m","1494.00","46787"
"2014/03/12 02:15:50","11322","0","85","6358m","967m","1472.00","46787"
"2014/03/12 02:15:53","11322","0","85","6358m","967m","1469.00","46785"
"2014/03/12 02:15:56","11322","0","85","6358m","967m","1380.00","46786"
"2014/03/12 02:15:59","11322","0","85","6358m","967m","1438.00","46786"
"2014/03/12 02:16:03","11322","0","85","6358m","967m","1490.00","46786"
