"2014/03/12 06:55:40","5784","0","85","6359m","1.1g","1432.00","46547"
"2014/03/12 06:55:45","5784","0","85","6359m","1.1g","1482.00","46548"
"2014/03/12 06:55:49","5784","0","85","6359m","1.1g","1473.00","46547"
"2014/03/12 06:55:53","5784","0","85","6359m","1.1g","1480.00","46547"
"2014/03/12 06:55:58","5784","0","85","6359m","1.1g","1443.00","46547"
"2014/03/12 06:56:02","5784","0","85","6359m","1.1g","1467.00","46547"
"2014/03/12 06:56:06","5784","0","85","6359m","1.1g","1454.00","46547"
"2014/03/12 06:56:11","5784","0","85","6359m","1.1g","1439.00","46547"
"2014/03/12 06:56:15","5784","0","85","6359m","1.1g","1431.00","46547"
"2014/03/12 06:56:20","5784","0","85","6359m","1.1g","1440.00","46548"
"2014/03/12 06:56:24","5784","0","85","6359m","1.1g","1454.00","46548"
"2014/03/12 06:56:28","5784","0","85","6359m","1.1g","1460.00","46548"
"2014/03/12 06:56:33","5784","0","85","6359m","1.1g","1451.00","46547"
"2014/03/12 06:56:37","5784","0","85","6359m","1.1g","1443.00","46547"
"2014/03/12 06:56:42","5784","0","85","6359m","1.1g","1450.00","46547"
"2014/03/12 06:56:46","5784","0","85","6359m","1.1g","1391.00","46548"
"2014/03/12 06:56:50","5784","0","85","6359m","1.1g","1447.00","46547"
"2014/03/12 06:56:55","5784","0","85","6359m","1.1g","1494.00","46548"
"2014/03/12 06:56:59","5784","0","85","6359m","1.1g","1466.00","46546"
"2014/03/12 06:57:04","5784","0","85","6359m","1.1g","1418.00","46546"
"2014/03/12 06:57:08","5784","0","85","6359m","1.1g","1440.00","46547"
"2014/03/12 06:57:12","5784","0","85","6359m","1.1g","1440.00","46546"
"2014/03/12 06:57:17","5784","0","85","6359m","1.1g","1434.00","46547"
"2014/03/12 06:57:21","5784","0","85","6359m","1.1g","1482.00","46548"
"2014/03/12 06:57:26","5784","0","85","6359m","1.1g","1462.00","46548"
"2014/03/12 06:57:30","5784","0","85","6359m","1.1g","1468.00","46547"
"2014/03/12 06:57:35","5784","0","85","6359m","1.1g","1482.00","46547"
"2014/03/12 06:57:39","5784","0","85","6359m","1.1g","1436.00","46548"
"2014/03/12 06:57:43","5784","0","85","6359m","1.1g","1454.00","46547"
"2014/03/12 06:57:48","5784","0","85","6359m","1.1g","1490.00","46547"
"2014/03/12 06:57:52","5784","0","85","6359m","1.1g","1492.00","46545"
"2014/03/12 06:57:57","5784","0","85","6359m","1.1g","1480.00","46547"
"2014/03/12 06:58:01","5784","0","85","6359m","1.1g","1463.00","46547"
"2014/03/12 06:58:06","5784","0","85","6359m","1.1g","1494.00","46547"
